code;state;region;gun_ownership;rate;n;rate_all;n_all;rate_homicide;n_homicide;rate_suicide;n_suicide
AL;Alabama;south;48.9;7.6;6041;17;13470;6.8;5342;9.3;7389
AK;Alaska;west;61.7;4.4;509;18.3;2124;3.5;403;13.8;1598
AZ;Arizona;west;32.3;5.4;5515;15.1;15483;5;5092;9.5;9763
AR;Arkansas;south;57.9;5.9;2835;15.7;7564;5.1;2453;9.7;4671
CA;California;west;20.1;4.4;27434;8.7;53975;4.3;26302;4.1;25214
CO;Colorado;west;34.3;2.5;2074;11.5;9392;2.3;1852;8.7;7170
CT;Connecticut;northeast;16.6;2.3;1354;5.2;3107;2.2;1296;2.9;1742
DE;Delaware;south;5.2;4;583;9.5;1389;3.8;557;5.3;780
DC;District of Columbia;south;25.9;19.5;1983;21.6;2196;19.3;1959;1.7;177
FL;Florida;south;32.5;4.3;13106;11.8;36326;4.1;12546;7.5;22934
GA;Georgia;south;31.6;5.5;8700;13;20411;5.2;8110;7.4;11528
HI;Hawaii;west;45.1;0.8;169;3.2;718;0.7;146;2.4;528
ID;Idaho;west;56.9;1.7;434;12.6;3174;1.2;312;10.7;2692
IL;Illinois;midwest;26.2;5.3;11323;8.9;19121;5;10849;3.5;7650
IN;Indiana;midwest;33.8;4.3;4694;11.5;12376;4;4271;7;7546
IA;Iowa;midwest;33.8;1.2;599;6.9;3546;1;498;5.7;2901
KS;Kansas;midwest;32.2;3.2;1507;10.8;5125;2.9;1354;7.5;3551
KY;Kentucky;south;42.4;4;2878;13.7;9850;3.3;2382;9.6;6902
LA;Louisiana;south;44.5;10.6;8156;18.8;14473;9.7;7470;8.1;6253
ME;Maine;northeast;22.6;1;233;8.9;1980;0.9;203;7.6;1709
MD;Maryland;south;20.7;6.4;6193;11;10565;6.3;6083;4.3;4148
MA;Massachusetts;northeast;22.6;1.5;1677;3.3;3689;1.5;1619;1.8;1944
MI;Michigan;midwest;28.8;5.1;8676;11.1;18808;4.9;8360;5.9;9983
MN;Minnesota;midwest;36.7;1.5;1331;6.8;6031;1.3;1179;5.3;4639
MS;Mississippi;south;42.8;8.4;4189;17.4;8649;7.4;3701;8.8;4395
MO;Missouri;midwest;27.1;5.6;5534;13.7;13631;5.1;5081;8.1;8022
MT;Montana;west;52.3;2.2;361;16;2613;1.6;261;13.6;2217
NE;Nebraska;midwest;19.8;2.4;731;8.4;2543;2;623;5.9;1788
NV;Nevada;west;37.5;4.6;1930;15.6;6617;4.2;1796;10.8;4562
NH;New Hampshire;northeast;14.4;0.8;181;7.1;1568;0.6;142;6.2;1367
NJ;New Jersey;northeast;11.3;3;4382;5;7447;2.9;4226;2;2987
NM;New Mexico;west;49.9;4.6;1545;15.5;5198;4.1;1390;10.5;3504
NY;New York;northeast;10.3;2.7;8902;5.1;16655;2.6;8589;2.3;7566
NC;North Carolina;south;28.7;5.1;7846;12.6;19319;4.7;7250;7.4;11385
ND;North Dakota;midwest;47.9;1.3;146;9.3;1060;0.9;99;8;908
OH;Ohio;midwest;19.6;3.6;7022;9.7;18873;3.3;6518;6;11651
OK;Oklahoma;south;31.2;4.6;2868;14.5;9022;4.1;2542;9.8;6058
OR;Oregon;west;26.6;1.8;1163;11.1;7020;1.6;990;9;5699
PA;Pennsylvania;northeast;27.1;4.3;9073;10.6;22604;4;8461;6.3;13342
RI;Rhode Island;northeast;5.8;1.8;317;4.3;775;1.7;301;2.5;454
SC;South Carolina;south;44.4;6.1;4580;14.4;10852;5.6;4176;8.2;6184
SD;South Dakota;midwest;35;1.3;181;9.3;1261;0.8;110;7.8;1057
TN;Tennessee;south;39.4;6;6294;15.3;15992;5.3;5487;9.2;9627
TX;Texas;south;35.7;4.2;17204;10.7;43357;3.9;15943;6.3;25738
UT;Utah;west;31.9;1.4;618;10.1;4467;1.2;528;8.5;3748
VT;Vermont;northeast;28.8;1.2;124;9.5;1006;0.9;99;8.3;871
VA;Virginia;south;29.3;3.8;5047;10.9;14286;3.6;4694;6.9;9063
WA;Washington;west;27.7;2;2245;9.2;10157;1.8;2029;7;7703
WV;West Virginia;south;54.2;3.6;1121;14.4;4476;2.9;913;10.6;3295
WI;Wisconsin;midwest;34.7;2.3;2209;8.5;8067;2.2;2043;6.1;5764
WY;Wyoming;west;53.8;2;187;16.1;1471;1.4;130;14;1274
